Reproducibility,Specificity,Description,Environment,Severity,Priority,Attachments,BugClarity
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0.2
0,0,0,0,0,1,0,0.1
0,0,0,0,0,1,1,0.35
0,0,0,0,1,0,0,0.1
0,0,0,0,1,0,1,0.35
0,0,0,0,1,1,0,0.25
0,0,0,0,1,1,1,0.5
0,0,0,1,0,0,0,0.1
0,0,0,1,0,0,1,0.2
0,0,0,1,0,1,0,0.2
0,0,0,1,0,1,1,0.6
0,0,0,1,1,0,0,0.2
0,0,0,1,1,0,1,0.6
0,0,0,1,1,1,0,0.35
0,0,0,1,1,1,1,0.7
0,0,1,0,0,0,0,0.1
0,0,1,0,0,0,1,0.25
0,0,1,0,0,1,0,0.25
0,0,1,0,0,1,1,0.5
0,0,1,0,1,0,0,0.25
0,0,1,0,1,0,1,0.5
0,0,1,0,1,1,0,0.4
0,0,1,0,1,1,1,0.75
0,0,1,1,0,0,0,0.2
0,0,1,1,0,0,1,0.5
0,0,1,1,0,1,0,0.3
0,0,1,1,0,1,1,0.6
0,0,1,1,1,0,0,0.35
0,0,1,1,1,0,1,0.6
0,0,1,1,1,1,0,0.45
0,0,1,1,1,1,1,0.75
0,1,0,0,0,0,0,0.3
0,1,0,0,0,0,1,0.55
0,1,0,0,0,1,0,0.4
0,1,0,0,0,1,1,0.8
0,1,0,0,1,0,0,0.4
0,1,0,0,1,0,1,0.8
0,1,0,0,1,1,0,0.45
0,1,0,0,1,1,1,0.8
0,1,0,1,0,0,0,0.4
0,1,0,1,0,0,1,0.7
0,1,0,1,0,1,0,0.4
0,1,0,1,0,1,1,0.8
0,1,0,1,1,0,0,0.4
0,1,0,1,1,0,1,0.8
0,1,0,1,1,1,0,0.45
0,1,0,1,1,1,1,0.85
0,1,1,0,0,0,0,0.35
0,1,1,0,0,0,1,0.75
0,1,1,0,0,1,0,0.6
0,1,1,0,0,1,1,0.8
0,1,1,0,1,0,0,0.6
0,1,1,0,1,0,1,0.8
0,1,1,0,1,1,0,0.7
0,1,1,0,1,1,1,0.85
0,1,1,1,0,0,0,0.35
0,1,1,1,0,0,1,0.75
0,1,1,1,0,1,0,0.5
0,1,1,1,0,1,1,0.9
0,1,1,1,1,0,0,0.5
0,1,1,1,1,0,1,0.9
0,1,1,1,1,1,0,0.7
0,1,1,1,1,1,1,0.95
1,1,0,0,0,0,0,0.45
1,0,0,0,0,0,1,0.6
1,0,0,0,0,1,0,0.6
1,0,0,0,0,1,1,0.8
1,0,0,0,1,0,0,0.35
1,0,0,0,1,0,1,0.65
1,0,0,0,1,1,0,0.5
1,0,0,0,1,1,1,0.8
1,0,0,1,0,0,0,0.35
1,0,0,1,0,0,1,0.65
1,0,0,1,0,1,0,0.6
1,0,0,1,0,1,1,0.75
1,0,0,1,1,0,0,0.6
1,0,0,1,1,0,1,0.75
1,0,0,1,1,1,0,0.65
1,0,0,1,1,1,1,0.8
1,0,1,0,0,0,0,0.35
1,0,1,0,0,0,1,0.75
1,0,1,0,0,1,0,0.5
1,0,1,0,0,1,1,0.8
1,0,1,0,1,0,0,0.5
1,0,1,0,1,0,1,0.75
1,0,1,0,1,1,0,0.6
1,0,1,0,1,1,1,0.85
1,0,1,1,0,0,0,0.35
1,0,1,1,0,0,1,0.8
1,0,1,1,0,1,0,0.45
1,0,1,1,0,1,1,0.9
1,0,1,1,1,0,0,0.55
1,0,1,1,1,0,1,0.85
1,0,1,1,1,1,0,0.75
1,1,1,1,1,1,1,1
1,1,0,0,0,0,0,0.4
1,1,0,0,0,0,1,0.75
1,1,0,0,0,1,0,0.6
1,1,0,0,0,1,1,0.8
1,1,0,0,1,0,0,0.7
1,1,0,0,1,0,1,0.85
1,1,0,0,1,1,0,0.75
1,1,0,0,1,1,1,0.9
1,1,0,1,0,0,0,0.4
1,1,0,1,0,0,1,0.7
1,1,0,1,0,1,0,0.5
1,1,0,1,0,1,1,0.85
1,1,0,1,1,0,0,0.6
1,1,0,1,1,0,1,0.85
1,1,0,1,1,1,0,0.65
1,1,0,1,1,1,1,0.95
1,1,1,0,0,0,0,0.4
1,1,1,0,0,0,1,0.7
1,1,1,0,0,1,0,0.7
1,1,1,0,0,1,1,0.85
1,1,1,0,1,0,0,0.6
1,1,1,0,1,0,1,0.85
1,1,1,0,1,1,0,0.7
1,1,1,0,1,1,1,0.95
1,1,1,1,0,0,0,0.65
1,1,1,1,0,0,1,0.85
1,1,1,1,0,1,0,0.7
1,1,1,1,0,1,1,0.95
1,1,1,1,1,0,0,0.7
1,1,1,1,1,0,1,0.95
1,1,1,1,1,1,0,0.8
1,1,1,1,1,1,1,1
